Title,URL,Dependent Component Responsible Office
"Presidential Permit Authorizing the City of Eagle Pass, Texas, To Expand and Continue To Maintain and Operate a Vehicular and Pedestrian Border Crossing at the Camino Real International Bridge Land Port of Entry",https://www.federalregister.gov/documents/2025/06/26/2025-11905/presidential-permit-authorizing-the-city-of-eagle-pass-texas-to-expand-and-continue-to-maintain-and,Executive Office of the President
"Authorizing the City of Laredo, Texas, To Expand and Continue To Maintain, and Operate a Vehicular Border Crossing at the Laredo-Colombia Solidarity International Bridge Land Port of Entry",https://www.federalregister.gov/documents/2025/06/20/2025-11389/authorizing-the-city-of-laredo-texas-to-expand-and-continue-to-maintain-and-operate-a-vehicular,Executive Office of the President
Empowering Commonsense Wildfire Prevention and Response,https://www.federalregister.gov/documents/2025/06/18/2025-11358/empowering-commonsense-wildfire-prevention-and-response,Executive Office of the President
"Authorizing Green Corridors, LLC, To Construct, Maintain, and Operate a Commercial Elevated Guideway Border Crossing Near Laredo, Texas, at the International Boundary Between the United States and Mexico",https://www.federalregister.gov/documents/2025/06/18/2025-11354/authorizing-green-corridors-llc-to-construct-maintain-and-operate-a-commercial-elevated-guideway,Executive Office of the President
Unleashing American Drone Dominance,https://www.federalregister.gov/documents/2025/06/11/2025-10814/unleashing-american-drone-dominance,Executive Office of the President
Sustaining Select Efforts To Strengthen the Nation's Cybersecurity and Amending Executive Order 13694 and Executive Order 14144,https://www.federalregister.gov/documents/2025/06/11/2025-10804/sustaining-select-efforts-to-strengthen-the-nations-cybersecurity-and-amending-executive-order-13694,Executive Office of the President
Restoring American Airspace Sovereignty,https://www.federalregister.gov/documents/2025/06/11/2025-10803/restoring-american-airspace-sovereignty,Executive Office of the President
Restricting the Entry of Foreign Nationals To Protect the United States From Foreign Terrorists and Other National Security and Public Safety Threats,https://www.federalregister.gov/documents/2025/06/10/2025-10669/restricting-the-entry-of-foreign-nationals-to-protect-the-united-states-from-foreign-terrorists-and,Executive Office of the President
Enhancing National Security by Addressing Risks at Harvard University,https://www.federalregister.gov/documents/2025/06/10/2025-10668/enhancing-national-security-by-addressing-risks-at-harvard-university,Executive Office of the President
Restoring Gold Standard Science,https://www.federalregister.gov/documents/2025/05/29/2025-09802/restoring-gold-standard-science,Executive Office of the President
Modifying Reciprocal Tariff Rates To Reflect Discussions With the People's Republic of China,https://www.federalregister.gov/documents/2025/05/21/2025-09297/modifying-reciprocal-tariff-rates-to-reflect-discussions-with-the-peoples-republic-of-china,Executive Office of the President
Establishing Project Homecoming,https://www.federalregister.gov/documents/2025/05/14/2025-08673/establishing-project-homecoming,Executive Office of the President
Strengthening and Unleashing America's Law Enforcement To Pursue Criminals and Protect Innocent Citizens,https://www.federalregister.gov/documents/2025/05/02/2025-07790/strengthening-and-unleashing-americas-law-enforcement-to-pursue-criminals-and-protect-innocent,Executive Office of the President
Protecting American Communities From Criminal Aliens,https://www.federalregister.gov/documents/2025/05/02/2025-07789/protecting-american-communities-from-criminal-aliens,Executive Office of the President
Reinstating Commonsense School Discipline Policies,https://www.federalregister.gov/documents/2025/04/28/2025-07377/reinstating-commonsense-school-discipline-policies,Executive Office of the President
Restoring American Seafood Competitiveness,https://www.federalregister.gov/documents/2025/04/22/2025-07062/restoring-american-seafood-competitiveness,Executive Office of the President
Restoring America's Maritime Dominance,https://www.federalregister.gov/documents/2025/04/15/2025-06465/restoring-americas-maritime-dominance,Executive Office of the President
Modifying Reciprocal Tariff Rates To Reflect Trading Partner Retaliation and Alignment,https://www.federalregister.gov/documents/2025/04/15/2025-06462/modifying-reciprocal-tariff-rates-to-reflect-trading-partner-retaliation-and-alignment,Executive Office of the President
Regulating Imports With a Reciprocal Tariff To Rectify Trade Practices That Contribute to Large and Persistent Annual United States Goods Trade Deficits,https://www.federalregister.gov/documents/2025/04/07/2025-06063/regulating-imports-with-a-reciprocal-tariff-to-rectify-trade-practices-that-contribute-to-large-and,Executive Office of the President
Further Amendment to Duties Addressing the Synthetic Opioid Supply Chain in the People's Republic of China as Applied to Low-Value Imports,https://www.federalregister.gov/documents/2025/04/07/2025-06027/further-amendment-to-duties-addressing-the-synthetic-opioid-supply-chain-in-the-peoples-republic-of,Executive Office of the President
Making the District of Columbia Safe and Beautiful,https://www.federalregister.gov/documents/2025/04/03/2025-05837/making-the-district-of-columbia-safe-and-beautiful,Executive Office of the President
Exclusions From Federal Labor-Management Relations Programs,https://www.federalregister.gov/documents/2025/04/03/2025-05836/exclusions-from-federal-labor-management-relations-programs,Executive Office of the President
"Protecting America's Bank Account Against Fraud, Waste, and Abuse",https://www.federalregister.gov/documents/2025/03/28/2025-05524/protecting-americas-bank-account-against-fraud-waste-and-abuse,Executive Office of the President
Modernizing Payments To and From America's Bank Account,https://www.federalregister.gov/documents/2025/03/28/2025-05522/modernizing-payments-to-and-from-americas-bank-account,Executive Office of the President
Imposing Tariffs on Countries Importing Venezuelan Oil,https://www.federalregister.gov/documents/2025/03/27/2025-05440/imposing-tariffs-on-countries-importing-venezuelan-oil,Executive Office of the President
Achieving Efficiency Through State and Local Preparedness,https://www.federalregister.gov/documents/2025/03/21/2025-04973/achieving-efficiency-through-state-and-local-preparedness,Executive Office of the President
Invocation of the Alien Enemies Act Regarding the Invasion of the United States by Tren de Aragua,https://www.federalregister.gov/documents/2025/03/20/2025-04865/invocation-of-the-alien-enemies-act-regarding-the-invasion-of-the-united-states-by-tren-de-aragua,Executive Office of the President
Establishing the White House Task Force on the FIFA World Cup 2026,https://www.federalregister.gov/documents/2025/03/12/2025-04102/establishing-the-white-house-task-force-on-the-fifa-world-cup-2026,Executive Office of the President
"Implementing the President's ""Department of Government Efficiency"" Cost Efficiency Initiative",https://www.federalregister.gov/documents/2025/03/03/2025-03527/implementing-the-presidents-department-of-government-efficiency-cost-efficiency-initiative,Executive Office of the President
"Ensuring Lawful Governance and Implementing the President's ""Department of Government Efficiency"" Deregulatory Initiative",https://www.federalregister.gov/documents/2025/02/25/2025-03138/ensuring-lawful-governance-and-implementing-the-presidents-department-of-government-efficiency,Executive Office of the President
Adjusting Imports of Steel Into the United States,https://www.federalregister.gov/documents/2025/02/18/2025-02833/adjusting-imports-of-steel-into-the-united-states,Executive Office of the President
Adjusting Imports of Aluminum Into the United States,https://www.federalregister.gov/documents/2025/02/18/2025-02832/adjusting-imports-of-aluminum-into-the-united-states,Executive Office of the President
